Accession	Description	Topology	Size (bp)	Phylum	Class	Order	Family	Genus	Species	Plasmid	Strain	Collection date	Country	REP types	MOB types	MPF types 	OriT types	Predicted Mobility
KM085451.1	Escherichia coli O104:H7 strain RM9387 plasmid pO104:H7_S1, complete sequence	circular	6819	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pO104:H7_S1	RM9387	NA	NA	ColRNAI_rep_cluster_1857	MOBP	NA	MOBP	Mobilizable
KM085452.1	Escherichia coli O104:H7 strain RM9387 plasmid pO104:H7_S2, complete sequence	circular	6673	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pO104:H7_S2	RM9387	NA	NA	NA	MOBP	NA	MOBP	Mobilizable
KM085453.1	Escherichia coli O104:H7 strain RM9387 plasmid pO104:H7_S3, complete sequence	circular	3173	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pO104:H7_S3	RM9387	NA	NA	ColRNAI_rep_cluster_1857	MOBF	NA	MOB_unknown	Mobilizable
KM107838.1	Escherichia coli strain G3/10 plasmid pSYM2, complete sequence	circular	4197	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM2	G3/10	NA	NA	ColRNAI_rep_cluster_1857	NA	NA	MOB_unknown,MOBP	Mobilizable
KM107839.1	Escherichia coli strain G3/10 plasmid pSYM3, complete sequence	circular	1934	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM3	G3/10	NA	NA	ColRNAI_rep_cluster_1993	NA	NA	NA	Non-mobilizable
KM107840.1	Escherichia coli strain G3/10 plasmid pSYM4, complete sequence	circular	1304	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM4	G3/10	NA	NA	NA	NA	NA	NA	Non-mobilizable
KM107841.1	Escherichia coli strain G3/10 plasmid pSYM5, complete sequence	circular	6567	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM5	G3/10	NA	NA	NA	NA	NA	NA	Non-mobilizable
KM107842.1	Escherichia coli strain G3/10 plasmid pSYM6, complete sequence	circular	10433	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM6	G3/10	NA	NA	NA	NA	NA	NA	Non-mobilizable
KM107843.1	Escherichia coli strain G5 plasmid pSYM7, complete sequence	circular	4452	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM7	G5	1954	Germany: near Wetzlar	ColRNAI_rep_cluster_1987	MOBP	NA	MOBP	Mobilizable
KM107844.1	Escherichia coli strain G5 plasmid pSYM8, complete sequence	circular	2353	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM8	G5	1954	Germany: near Wetzlar	ColRNAI_rep_cluster_1996	NA	NA	NA	Non-mobilizable
KM107845.1	Escherichia coli strain G5 plasmid pSYM9, complete sequence	circular	12686	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM9	G5	1954	Germany: near Wetzlar	NA	NA	NA	NA	Non-mobilizable
KM107846.1	Escherichia coli strain G1/2 plasmid pSYM10, complete sequence	circular	1549	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM10	G1/2	1954	Germany: near Wetzlar	ColRNAI_rep_cluster_1885	NA	NA	MOBP,MOB_unknown	Mobilizable
KM107847.1	Escherichia coli strain G5 plasmid pSYM11, complete sequence	circular	3215	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM11	G5	1954	Germany: near Wetzlar	ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
KM107848.1	Escherichia coli strain G1/2 plasmid pSYM12, complete sequence	circular	7111	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSYM12	G1/2	1954	Germany: near Wetzlar	ColRNAI_rep_cluster_1857	MOBP	NA	MOBP	Mobilizable
KM112087.1	Yersinia pestis subsp. pestis bv. Medievalis plasmid pCKF, complete sequence	circular	5399	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	pCKF	C-627	NA	Russia	rep_cluster_1800	NA	NA	NA	Non-mobilizable
KM189195.1	Vibrio parahaemolyticus strain 13511/A1 plasmid pTetB-VA1, complete sequence	circular	5162	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus	pTetB-VA1	13511/A1	2013	Mexico	NA	NA	NA	NA	Non-mobilizable
KM198330.1	Salmonella enterica subsp. enterica serovar Enteritidis strain DG1009139 plasmid pDGSE139, complete sequence	linear	215897	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	pDGSE139	DG1009139	NA	NA	IncH,rep_cluster_1088	MOBH	MPF_F	MOBH	Conjugative
KM204147.1	Aeromonas sp. C3 plasmid pAC3, complete sequence	circular	15872	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. C3	pAC3	C3	NA	South Korea	IncU	NA	NA	NA	Non-mobilizable
KM207012.2	Escherichia coli strain LDH19 plasmid pHNLDH19, complete sequence	circular	62194	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pHNLDH19	LDH19	NA	NA	IncI2	MOBP	MPF_T	NA	Conjugative
KM210086.1	Acinetobacter lwoffii strain JN49-1 plasmid pNDM-JN01, complete sequence	circular	41084	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter lwoffii	pNDM-JN01	JN49-1	May-2011	China: JiNan	NA	MOBQ	MPF_T	MOBQ	Conjugative
KM210088.1	Acinetobacter sp. JN247 plasmid pNDM-JN02, complete sequence	circular	41084	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. JN247	pNDM-JN02	JN247	May-2011	China: JiNan	NA	MOBQ	MPF_T	MOBQ	Conjugative
KM212169.1	Escherichia coli strain 8ZG6D plasmid pSD11, complete sequence	circular	37672	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSD11	8ZG6D	NA	China	IncX4	MOBP	MPF_T	NA	Conjugative
KM245123.1	Aeromonas hydrophila strain IB101 plasmid AHIB101-pBF7.8, complete sequence	circular	7844	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila	AHIB101-pBF7.8	IB101	NA	NA	IncQ2	MOBF	NA	NA	Mobilizable
KM260754.1	Saccharopolyspora endophytica strain YIM 61095 plasmid pCM32, complete sequence	circular	14611	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora endophytica	pCM32	YIM 61095	NA	NA	NA	NA	NA	NA	Non-mobilizable
KM272265.1	Lactobacillus plantarum strain ATIT-023 plasmid pLP-8, complete sequence	circular	3414	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	pLP-8	ATIT-023	NA	Taiwan	Inc13	NA	NA	NA	Non-mobilizable
KM276079.1	Staphylococcus chromogenes strain 118 plasmid pSWS118, complete sequence	circular	4220	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus chromogenes	pSWS118	118	NA	NA	rep_cluster_1078	MOBP	NA	NA	Mobilizable
KM276080.1	Staphylococcus equorum strain 961 plasmid pSWS961, complete sequence	circular	4220	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus equorum	pSWS961	961	NA	NA	rep_cluster_1078	MOBP	NA	NA	Mobilizable
KM276081.1	Staphylococcus hyicus strain 1211 plasmid pSWS1211, complete sequence	circular	4229	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hyicus	pSWS1211	1211	NA	NA	rep_cluster_1078	MOBP	NA	NA	Mobilizable
KM276082.1	Staphylococcus hyicus strain 2482 plasmid pSWS2482, complete sequence	circular	3780	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hyicus	pSWS2482	2482	NA	NA	rep_cluster_1118	MOBV	NA	NA	Mobilizable
KM281802.1	Staphylococcus aureus subsp. aureus strain ST20071176 plasmid pT45, complete sequence	circular	4460	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	pT45	ST20071176	NA	Tunisia	rep_cluster_1118	NA	NA	NA	Non-mobilizable
KM281803.1	Staphylococcus aureus subsp. aureus strain 11819-97 plasmid pT49, complete sequence	circular	4896	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	pT49	11819-97	NA	Denmark	rep_cluster_1118	MOBV	NA	NA	Mobilizable
KM287568.1	Escherichia coli strain BZB2106 plasmid pColE3-CA38, complete sequence	circular	7118	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pColE3-CA38	BZB2106	NA	NA	ColRNAI_rep_cluster_1291	MOBQ	NA	MOBQ,MOBQ	Mobilizable
KM348008.1	Bacillus pumilus strain 15.1 plasmid pBp15.1S, complete sequence	circular	7785	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus	pBp15.1S	15.1	NA	NA	Inc13	MOBV	NA	NA	Mobilizable
KM373703.1	Citrobacter sp. 36-4CPA plasmid pCS36-4CPA, complete sequence	circular	5217	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter sp. 36-4CPA	pCS36-4CPA	36-4CPA	NA	Russia	ColRNAI_rep_cluster_1987	MOBP,MOBP	NA	MOBP	Mobilizable
KM377238.1	Escherichia coli strain HV114 plasmid pHV114, complete sequence	circular	110997	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pHV114	HV114	NA	Switzerland	IncI1	MOBP	MPF_I	MOBP	Conjugative
KM377239.1	Escherichia coli strain HV292 plasmid pHV292, complete sequence	circular	117269	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pHV292	HV292	NA	NA	IncI1	MOBP	MPF_I	MOBP	Conjugative
KM377240.1	Escherichia coli strain HV295 plasmid pHV295, complete sequence	circular	105076	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pHV295	HV295	NA	NA	IncI1	MOBP	MPF_I	MOBP	Conjugative
KM396298.1	Salmonella enterica subsp. enterica serovar Enteritidis strain KUSR18 plasmid pKUSR18, complete sequence	circular	215892	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	pKUSR18	KUSR18	NA	NA	IncH,rep_cluster_1088	MOBH	MPF_F	MOBH	Conjugative
KM396299.1	Salmonella enterica subsp. enterica serovar Enteritidis strain SEN112499 plasmid pSEN112499, complete sequence	circular	215897	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	pSEN112499	SEN112499	NA	NA	IncH,rep_cluster_1088	MOBH	MPF_F	MOBH	Conjugative
KM396300.1	Salmonella enterica subsp. enterica serovar Enteritidis strain SEN110055 plasmid pSEN110055, complete sequence	circular	215937	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	pSEN110055	SEN110055	NA	NA	rep_cluster_1088,IncH	MOBH	MPF_F	MOBH	Conjugative
KM400601.1	Klebsiella pneumoniae plasmid pJEG027, complete sequence	circular	46253	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pJEG027	Kp0003	NA	NA	IncX3	MOBP	MPF_T	NA	Conjugative
KM406416.1	Bifidobacterium breve strain JCM 7017 plasmid megaplasmid pMP7017, complete sequence	circular	190178	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve	megaplasmid pMP7017	JCM 7017	NA	NA	rep_cluster_329	NA	NA	NA	Non-mobilizable
KM406488.1	Salmonella enterica subsp. enterica serovar Paratyphi B strain R69 plasmid R69, complete sequence	circular	78899	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	R69	R69	NA	NA	IncL/M	MOBP	MPF_I	NA	Conjugative
KM406489.1	Serratia marcescens strain R471 plasmid R471, complete sequence	circular	86748	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens	R471	R471	NA	NA	IncL/M	MOBP	MPF_I	NA	Conjugative
KM406490.1	Salmonella enterica subsp. enterica serovar Typhimurium strain 202 plasmid pSEM, complete sequence	circular	79502	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	pSEM	202	NA	NA	IncL/M	MOBP	MPF_I	NA	Conjugative
KM406491.1	Klebsiella pneumoniae strain Kpn-E1.Nr7 plasmid pKpn-E1.Nr7, complete sequence	circular	63581	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pKpn-E1.Nr7	Kpn-E1.Nr7	NA	Switzerland: Bern	IncL/M	MOBP	MPF_I	NA	Conjugative
KM409652.1	Escherichia coli strain REL5382 plasmid pB15, complete sequence	circular	102294	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pB15	REL5382	NA	NA	IncI1	MOBP	MPF_I	MOBP	Conjugative
KM506769.1	Uncultured bacterium plasmid pKAZ1, complete sequence	circular	149696	NA	NA	NA	NA	NA	uncultured bacterium	pKAZ1	NA	31/01/2012	India	IncA/C2	MOBH	MPF_F	MOBH	Conjugative
KM521836.1	Staphylococcus epidermidis strain 12-00322 plasmid p12-00322, complete sequence	circular	36754	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	p12-00322	12-00322	31-janv-12	Germany	rep_cluster_1142	MOBQ	MPF_T	NA	Conjugative
KM521837.1	Staphylococcus epidermidis strain 12-02300 plasmid p12-02300, complete sequence	circular	38864	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	p12-02300	12-02300	09-juil-12	Germany	rep_cluster_155	NA	NA	NA	Non-mobilizable
KM576795.1	Erysipelothrix rhusiopathiae strain ER29 plasmid pER29, complete sequence	linear	3749	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix rhusiopathiae	pER29	ER29	NA	China	NA	NA	NA	NA	Non-mobilizable
KM577619.1	Proteus vulgaris strain MB18 plasmid pMB18, complete sequence	circular	5201	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus vulgaris	pMB18	MB18	NA	China	ColRNAI_rep_cluster_1956	NA	NA	NA	Non-mobilizable
KM580532.1	Escherichia coli strain GXEC3 plasmid pGXEC3, complete sequence	circular	41646	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pGXEC3	GXEC3	NA	China	IncX4	MOBP	MPF_T	NA	Conjugative
KM580533.1	Escherichia coli strain GXEC6 plasmid pGXEC6, complete sequence	circular	38405	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pGXEC6	GXEC6	NA	China	IncX4	MOBP	MPF_T	NA	Conjugative
KM583808.1	Helicobacter pylori strain UM046 plasmid pUM046-1, complete sequence	circular	3483	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM046-1	UM046	NA	Malaysia	rep_cluster_60	NA	NA	NA	Non-mobilizable
KM583809.1	Helicobacter pylori strain UM046 plasmid pUM046-2, complete sequence	circular	9121	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM046-2	UM046	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583810.1	Helicobacter pylori strain UM065 plasmid pUM065, complete sequence	circular	3616	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM065	UM065	NA	Malaysia	rep_cluster_60	NA	NA	NA	Non-mobilizable
KM583811.1	Helicobacter pylori strain UM066 plasmid pUM066, complete sequence	circular	6954	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM066	UM066	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583812.1	Helicobacter pylori strain UM096 plasmid pUM096, complete sequence	circular	9821	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM096	UM096	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583813.1	Helicobacter pylori strain UM097 plasmid pUM097, complete sequence	circular	3397	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM097	UM097	NA	Malaysia	rep_cluster_60	NA	NA	NA	Non-mobilizable
KM583814.1	Helicobacter pylori strain UM134 plasmid pUM134, complete sequence	circular	9381	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM134	UM134	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583815.1	Helicobacter pylori strain UM137 plasmid pUM137, complete sequence	circular	3489	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM137	UM137	NA	Malaysia	rep_cluster_60	NA	NA	NA	Non-mobilizable
KM583816.1	Helicobacter pylori strain UM146 plasmid pUM146, complete sequence	circular	9885	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM146	UM146	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583817.1	Helicobacter pylori strain UM157 plasmid pUM157, complete sequence	circular	18635	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM157	UM157	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583818.1	Helicobacter pylori strain UM171 plasmid pUM171, complete sequence	circular	9121	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM171	UM171	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583819.1	Helicobacter pylori strain UM196 plasmid pUM196, complete sequence	circular	9258	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM196	UM196	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583820.1	Helicobacter pylori strain UM229 plasmid pUM229, complete sequence	circular	3511	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM229	UM229	NA	Malaysia	rep_cluster_60	NA	NA	NA	Non-mobilizable
KM583821.1	Helicobacter pylori strain UM291 plasmid pUM291, complete sequence	circular	9230	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM291	UM291	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583822.1	Helicobacter pylori strain UM352 plasmid pUM352, complete sequence	circular	9099	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM352	UM352	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583823.1	Helicobacter pylori strain UM426 plasmid pUM426, complete sequence	circular	9130	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM426	UM426	NA	Malaysia	rep_cluster_137	MOBP	NA	NA	Mobilizable
KM583824.1	Helicobacter pylori strain UM233 plasmid pUM233, complete sequence	circular	3496	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pUM233	UM233	NA	Malaysia	rep_cluster_60	NA	NA	NA	Non-mobilizable
KM613043.1	Macrococcus caseolyticus strain 115 plasmid pBac115, complete sequence	circular	24009	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus caseolyticus	pBac115	115	NA	USA	rep_cluster_177	NA	NA	NA	Non-mobilizable
KM659088.1	Pseudomonas sp. LM8 plasmid pLM8P1, complete sequence	circular	1679	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. LM8	pLM8P1	NA	NA	Poland	NA	NA	NA	NA	Non-mobilizable
KM659089.1	Pseudomonas sp. LM12 plasmid pLM12P1, complete sequence	circular	5089	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. LM12	pLM12P1	NA	NA	Poland	rep_cluster_1484	NA	NA	NA	Non-mobilizable
KM659090.1	Achromobacter sp. LM16 plasmid pLM16A1, complete sequence	circular	25026	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. LM16	pLM16A1	NA	NA	Poland	rep_cluster_724	MOBQ	MPF_T	NA	Conjugative
KM659091.1	Ochrobactrum sp. LM19 plasmid pLM19O1, complete sequence	circular	78679	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum sp. LM19	pLM19O1	NA	NA	Poland	rep_cluster_582	NA	NA	NA	Non-mobilizable
KM659092.1	Ochrobactrum sp. LM19 plasmid pLM19O2, complete sequence	circular	107804	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum sp. LM19	pLM19O2	NA	NA	Poland	rep_cluster_1182	NA	NA	NA	Non-mobilizable
KM659093.1	Paracoccus yeei strain LM20 plasmid pLM20P1, complete sequence	circular	5982	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pLM20P1	LM20	NA	Poland	rep_cluster_835	NA	NA	NA	Non-mobilizable
KM659094.1	Paracoccus yeei strain LM20 plasmid pLM20P2, complete sequence	circular	6235	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pLM20P2	LM20	NA	Poland	rep_cluster_1744	NA	NA	NA	Non-mobilizable
KM659095.1	Paracoccus yeei plasmid pLM20P3, complete sequence	circular	7244	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pLM20P3	NA	NA	Poland	rep_cluster_1927	MOBQ	NA	NA	Mobilizable
KM659096.1	Paracoccus yeei plasmid pLM20P4, complete sequence	circular	20746	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pLM20P4	NA	NA	Poland	rep_cluster_1101	NA	NA	NA	Non-mobilizable
KM659097.1	Paracoccus yeei plasmid pLM20P5, complete sequence	circular	28489	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pLM20P5	NA	NA	Poland	rep_cluster_1497	NA	NA	NA	Non-mobilizable
KM659098.1	Sinorhizobium sp. LM21 plasmid pLM21S1, complete sequence	circular	117539	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. LM21	pLM21S1	NA	NA	Poland	rep_cluster_747	NA	NA	NA	Non-mobilizable
